isced11,isco08,mgstatus,age,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,Percentage
"Less than primary, primary and lower secondary education",Professionals,First Generation Immigrant,Y20-64,F,THS_PER,Spain,2022,1.2,du,2.4
"Less than primary, primary and lower secondary education",Professionals,First Generation Immigrant,Y20-64,F,THS_PER,Finland,2022,2.7,u,5.4
"Less than primary, primary and lower secondary education",Professionals,First Generation Immigrant,Y20-64,F,THS_PER,France,2022,6.3,du,12.6
"Less than primary, primary and lower secondary education",Professionals,First Generation Immigrant,Y20-64,F,THS_PER,Italy,2022,2.7,u,5.4
"Less than primary, primary and lower secondary education",Professionals,First Generation Immigrant,Y20-64,F,THS_PER,Netherlands,2022,10.1,unknown,20.2
"Less than primary, primary and lower secondary education",Professionals,First Generation Immigrant,Y20-64,M,THS_PER,Switzerland,2022,3.9,u,4.77
"Less than primary, primary and lower secondary education",Professionals,First Generation Immigrant,Y20-64,M,THS_PER,Germany,2022,40.1,unknown,49.02
"Less than primary, primary and lower secondary education",Professionals,First Generation Immigrant,Y20-64,M,THS_PER,Spain,2022,2.9,du,3.55
"Less than primary, primary and lower secondary education",Professionals,First Generation Immigrant,Y20-64,M,THS_PER,Finland,2022,2.2,u,2.69
"Less than primary, primary and lower secondary education",Professionals,First Generation Immigrant,Y20-64,M,THS_PER,France,2022,10.9,d,13.33
"Less than primary, primary and lower secondary education",Professionals,First Generation Immigrant,Y20-64,M,THS_PER,Italy,2022,7.1,unknown,8.68
"Less than primary, primary and lower secondary education",Professionals,First Generation Immigrant,Y20-64,M,THS_PER,Netherlands,2022,14.7,unknown,17.97
"Less than primary, primary and lower secondary education",Professionals,Native Born,Y20-64,F,THS_PER,Belgium,2022,2.1,u,1.46
"Less than primary, primary and lower secondary education",Professionals,Native Born,Y20-64,F,THS_PER,Switzerland,2022,2.8,u,1.95
"Less than primary, primary and lower secondary education",Professionals,Native Born,Y20-64,F,THS_PER,Germany,2022,71.9,unknown,50.0
"Less than primary, primary and lower secondary education",Professionals,Native Born,Y20-64,F,THS_PER,Denmark,2022,3.6,u,2.5
"Less than primary, primary and lower secondary education",Professionals,Native Born,Y20-64,F,THS_PER,Spain,2022,3.9,du,2.71
"Less than primary, primary and lower secondary education",Professionals,Native Born,Y20-64,F,THS_PER,Finland,2022,2.7,u,1.88
"Less than primary, primary and lower secondary education",Professionals,Native Born,Y20-64,F,THS_PER,France,2022,24.9,d,17.32
"Less than primary, primary and lower secondary education",Professionals,Native Born,Y20-64,F,THS_PER,Iceland,2022,0.6,unknown,0.42
"Less than primary, primary and lower secondary education",Professionals,Native Born,Y20-64,F,THS_PER,Italy,2022,10.7,unknown,7.44
"Less than primary, primary and lower secondary education",Professionals,Native Born,Y20-64,F,THS_PER,Netherlands,2022,17.1,unknown,11.89
"Less than primary, primary and lower secondary education",Professionals,Native Born,Y20-64,F,THS_PER,Sweden,2022,3.5,u,2.43
"Less than primary, primary and lower secondary education",Professionals,Native Born,Y20-64,M,THS_PER,Austria,2022,4.2,u,1.66
"Less than primary, primary and lower secondary education",Professionals,Native Born,Y20-64,M,THS_PER,Belgium,2022,7.3,unknown,2.89
"Less than primary, primary and lower secondary education",Professionals,Native Born,Y20-64,M,THS_PER,Switzerland,2022,3.4,u,1.35
"Less than primary, primary and lower secondary education",Professionals,Native Born,Y20-64,M,THS_PER,Germany,2022,74.0,unknown,29.3
"Less than primary, primary and lower secondary education",Professionals,Native Born,Y20-64,M,THS_PER,Denmark,2022,8.6,unknown,3.4
"Less than primary, primary and lower secondary education",Professionals,Native Born,Y20-64,M,THS_PER,Greece,2022,2.0,u,0.79
"Less than primary, primary and lower secondary education",Professionals,Native Born,Y20-64,M,THS_PER,Spain,2022,6.4,d,2.53
"Less than primary, primary and lower secondary education",Professionals,Native Born,Y20-64,M,THS_PER,Finland,2022,7.8,unknown,3.09
"Less than primary, primary and lower secondary education",Professionals,Native Born,Y20-64,M,THS_PER,France,2022,47.9,d,18.96
"Less than primary, primary and lower secondary education",Professionals,Native Born,Y20-64,M,THS_PER,Iceland,2022,0.9,unknown,0.36
"Less than primary, primary and lower secondary education",Professionals,Native Born,Y20-64,M,THS_PER,Italy,2022,26.8,unknown,10.61
"Less than primary, primary and lower secondary education",Professionals,Native Born,Y20-64,M,THS_PER,Netherlands,2022,39.2,unknown,15.52
"Less than primary, primary and lower secondary education",Professionals,Native Born,Y20-64,M,THS_PER,Norway,2022,8.8,u,3.48
"Less than primary, primary and lower secondary education",Professionals,Native Born,Y20-64,M,THS_PER,Portugal,2022,5.4,u,2.14
"Less than primary, primary and lower secondary education",Professionals,Native Born,Y20-64,M,THS_PER,Serbia,2022,1.5,u,0.59
"Less than primary, primary and lower secondary education",Professionals,Native Born,Y20-64,M,THS_PER,Sweden,2022,8.4,unknown,3.33
"Less than primary, primary and lower secondary education",Technicians and associate professionals,First Generation Immigrant,Y20-64,F,THS_PER,Belgium,2022,2.2,u,1.41
"Less than primary, primary and lower secondary education",Technicians and associate professionals,First Generation Immigrant,Y20-64,F,THS_PER,Switzerland,2022,6.3,unknown,4.04
"Less than primary, primary and lower secondary education",Technicians and associate professionals,First Generation Immigrant,Y20-64,F,THS_PER,Germany,2022,97.8,unknown,62.69
"Less than primary, primary and lower secondary education",Technicians and associate professionals,First Generation Immigrant,Y20-64,F,THS_PER,Spain,2022,9.8,d,6.28
"Less than primary, primary and lower secondary education",Technicians and associate professionals,First Generation Immigrant,Y20-64,F,THS_PER,France,2022,16.3,d,10.45
"Less than primary, primary and lower secondary education",Technicians and associate professionals,First Generation Immigrant,Y20-64,F,THS_PER,Italy,2022,10.9,unknown,6.99
"Less than primary, primary and lower secondary education",Technicians and associate professionals,First Generation Immigrant,Y20-64,F,THS_PER,Netherlands,2022,8.7,unknown,5.58
"Less than primary, primary and lower secondary education",Technicians and associate professionals,First Generation Immigrant,Y20-64,F,THS_PER,Sweden,2022,4.0,u,2.56
"Less than primary, primary and lower secondary education",Technicians and associate professionals,First Generation Immigrant,Y20-64,M,THS_PER,Austria,2022,5.4,u,2.56
"Less than primary, primary and lower secondary education",Technicians and associate professionals,First Generation Immigrant,Y20-64,M,THS_PER,Belgium,2022,2.5,u,1.18
"Less than primary, primary and lower secondary education",Technicians and associate professionals,First Generation Immigrant,Y20-64,M,THS_PER,Switzerland,2022,11.6,unknown,5.49
"Less than primary, primary and lower secondary education",Technicians and associate professionals,First Generation Immigrant,Y20-64,M,THS_PER,Czechia,2022,0.8,u,0.38
"Less than primary, primary and lower secondary education",Technicians and associate professionals,First Generation Immigrant,Y20-64,M,THS_PER,Germany,2022,94.5,unknown,44.72
"Less than primary, primary and lower secondary education",Technicians and associate professionals,First Generation Immigrant,Y20-64,M,THS_PER,Denmark,2022,2.4,u,1.14
"Less than primary, primary and lower secondary education",Technicians and associate professionals,First Generation Immigrant,Y20-64,M,THS_PER,Spain,2022,16.1,d,7.62
"Less than primary, primary and lower secondary education",Technicians and associate professionals,First Generation Immigrant,Y20-64,M,THS_PER,Finland,2022,2.1,u,0.99
"Less than primary, primary and lower secondary education",Technicians and associate professionals,First Generation Immigrant,Y20-64,M,THS_PER,France,2022,26.6,d,12.59
"Less than primary, primary and lower secondary education",Technicians and associate professionals,First Generation Immigrant,Y20-64,M,THS_PER,Italy,2022,22.7,unknown,10.74
"Less than primary, primary and lower secondary education",Technicians and associate professionals,First Generation Immigrant,Y20-64,M,THS_PER,Luxembourg,2022,0.5,u,0.24
"Less than primary, primary and lower secondary education",Technicians and associate professionals,First Generation Immigrant,Y20-64,M,THS_PER,Malta,2022,0.6,u,0.28
"Less than primary, primary and lower secondary education",Technicians and associate professionals,First Generation Immigrant,Y20-64,M,THS_PER,Netherlands,2022,11.3,unknown,5.35
"Less than primary, primary and lower secondary education",Technicians and associate professionals,First Generation Immigrant,Y20-64,M,THS_PER,Portugal,2022,5.7,u,2.7
"Less than primary, primary and lower secondary education",Technicians and associate professionals,First Generation Immigrant,Y20-64,M,THS_PER,Sweden,2022,8.5,unknown,4.02
"Less than primary, primary and lower secondary education",Technicians and associate professionals,Native Born,Y20-64,F,THS_PER,Austria,2022,10.0,unknown,1.7
"Less than primary, primary and lower secondary education",Technicians and associate professionals,Native Born,Y20-64,F,THS_PER,Belgium,2022,5.2,unknown,0.88
"Less than primary, primary and lower secondary education",Technicians and associate professionals,Native Born,Y20-64,F,THS_PER,Switzerland,2022,5.0,unknown,0.85
"Less than primary, primary and lower secondary education",Technicians and associate professionals,Native Born,Y20-64,F,THS_PER,Czechia,2022,2.3,u,0.39
"Less than primary, primary and lower secondary education",Technicians and associate professionals,Native Born,Y20-64,F,THS_PER,Germany,2022,237.8,unknown,40.36
"Less than primary, primary and lower secondary education",Technicians and associate professionals,Native Born,Y20-64,F,THS_PER,Denmark,2022,12.0,unknown,2.04
"Less than primary, primary and lower secondary education",Technicians and associate professionals,Native Born,Y20-64,F,THS_PER,Spain,2022,51.7,d,8.77
"Less than primary, primary and lower secondary education",Technicians and associate professionals,Native Born,Y20-64,F,THS_PER,Finland,2022,5.2,unknown,0.88
"Less than primary, primary and lower secondary education",Technicians and associate professionals,Native Born,Y20-64,F,THS_PER,France,2022,81.1,d,13.76
"Less than primary, primary and lower secondary education",Technicians and associate professionals,Native Born,Y20-64,F,THS_PER,Hungary,2022,6.2,unknown,1.05
"Less than primary, primary and lower secondary education",Technicians and associate professionals,Native Born,Y20-64,F,THS_PER,Iceland,2022,1.1,unknown,0.19
"Less than primary, primary and lower secondary education",Technicians and associate professionals,Native Born,Y20-64,F,THS_PER,Italy,2022,79.5,unknown,13.49
"Less than primary, primary and lower secondary education",Technicians and associate professionals,Native Born,Y20-64,F,THS_PER,Luxembourg,2022,0.9,u,0.15
"Less than primary, primary and lower secondary education",Technicians and associate professionals,Native Born,Y20-64,F,THS_PER,Malta,2022,0.9,u,0.15
"Less than primary, primary and lower secondary education",Technicians and associate professionals,Native Born,Y20-64,F,THS_PER,Netherlands,2022,47.3,unknown,8.03
"Less than primary, primary and lower secondary education",Technicians and associate professionals,Native Born,Y20-64,F,THS_PER,Norway,2022,7.8,u,1.32
"Less than primary, primary and lower secondary education",Technicians and associate professionals,Native Born,Y20-64,F,THS_PER,Portugal,2022,24.5,unknown,4.16
"Less than primary, primary and lower secondary education",Technicians and associate professionals,Native Born,Y20-64,F,THS_PER,Serbia,2022,1.1,u,0.19
"Less than primary, primary and lower secondary education",Technicians and associate professionals,Native Born,Y20-64,F,THS_PER,Sweden,2022,9.6,unknown,1.63
"Less than primary, primary and lower secondary education",Technicians and associate professionals,Native Born,Y20-64,M,THS_PER,Austria,2022,13.7,unknown,1.39
"Less than primary, primary and lower secondary education",Technicians and associate professionals,Native Born,Y20-64,M,THS_PER,Belgium,2022,12.1,unknown,1.23
"Less than primary, primary and lower secondary education",Technicians and associate professionals,Native Born,Y20-64,M,THS_PER,Switzerland,2022,5.0,u,0.51
"Less than primary, primary and lower secondary education",Technicians and associate professionals,Native Born,Y20-64,M,THS_PER,Cyprus,2022,0.6,u,0.06
"Less than primary, primary and lower secondary education",Technicians and associate professionals,Native Born,Y20-64,M,THS_PER,Czechia,2022,3.7,unknown,0.38
"Less than primary, primary and lower secondary education",Technicians and associate professionals,Native Born,Y20-64,M,THS_PER,Germany,2022,198.5,unknown,20.21
"Less than primary, primary and lower secondary education",Technicians and associate professionals,Native Born,Y20-64,M,THS_PER,Denmark,2022,28.1,unknown,2.86
"Less than primary, primary and lower secondary education",Technicians and associate professionals,Native Born,Y20-64,M,THS_PER,Estonia,2022,2.7,unknown,0.27
"Less than primary, primary and lower secondary education",Technicians and associate professionals,Native Born,Y20-64,M,THS_PER,Greece,2022,4.3,unknown,0.44
"Less than primary, primary and lower secondary education",Technicians and associate professionals,Native Born,Y20-64,M,THS_PER,Spain,2022,173.2,d,17.63
"Less than primary, primary and lower secondary education",Technicians and associate professionals,Native Born,Y20-64,M,THS_PER,Finland,2022,8.9,unknown,0.91
"Less than primary, primary and lower secondary education",Technicians and associate professionals,Native Born,Y20-64,M,THS_PER,France,2022,113.0,d,11.5
"Less than primary, primary and lower secondary education",Technicians and associate professionals,Native Born,Y20-64,M,THS_PER,Croatia,2022,1.2,u,0.12
"Less than primary, primary and lower secondary education",Technicians and associate professionals,Native Born,Y20-64,M,THS_PER,Hungary,2022,4.2,u,0.43
"Less than primary, primary and lower secondary education",Technicians and associate professionals,Native Born,Y20-64,M,THS_PER,Ireland,2022,5.7,u,0.58
"Less than primary, primary and lower secondary education",Technicians and associate professionals,Native Born,Y20-64,M,THS_PER,Iceland,2022,1.5,unknown,0.15
"Less than primary, primary and lower secondary education",Technicians and associate professionals,Native Born,Y20-64,M,THS_PER,Italy,2022,227.3,unknown,23.14
"Less than primary, primary and lower secondary education",Technicians and associate professionals,Native Born,Y20-64,M,THS_PER,Luxembourg,2022,1.2,unknown,0.12
"Less than primary, primary and lower secondary education",Technicians and associate professionals,Native Born,Y20-64,M,THS_PER,Malta,2022,2.8,unknown,0.29
"Less than primary, primary and lower secondary education",Technicians and associate professionals,Native Born,Y20-64,M,THS_PER,Netherlands,2022,68.6,unknown,6.98
"Less than primary, primary and lower secondary education",Technicians and associate professionals,Native Born,Y20-64,M,THS_PER,Norway,2022,16.4,unknown,1.67
"Less than primary, primary and lower secondary education",Technicians and associate professionals,Native Born,Y20-64,M,THS_PER,Portugal,2022,66.4,unknown,6.76
"Less than primary, primary and lower secondary education",Technicians and associate professionals,Native Born,Y20-64,M,THS_PER,Sweden,2022,23.1,unknown,2.35
"Less than primary, primary and lower secondary education",Clerical support workers,First Generation Immigrant,Y20-64,F,THS_PER,Belgium,2022,2.1,u,1.47
"Less than primary, primary and lower secondary education",Clerical support workers,First Generation Immigrant,Y20-64,F,THS_PER,Switzerland,2022,7.8,unknown,5.45
"Less than primary, primary and lower secondary education",Clerical support workers,First Generation Immigrant,Y20-64,F,THS_PER,Germany,2022,60.8,unknown,42.52
"Less than primary, primary and lower secondary education",Clerical support workers,First Generation Immigrant,Y20-64,F,THS_PER,Spain,2022,16.8,d,11.75
"Less than primary, primary and lower secondary education",Clerical support workers,First Generation Immigrant,Y20-64,F,THS_PER,France,2022,16.9,d,11.82
"Less than primary, primary and lower secondary education",Clerical support workers,First Generation Immigrant,Y20-64,F,THS_PER,Italy,2022,14.7,unknown,10.28
"Less than primary, primary and lower secondary education",Clerical support workers,First Generation Immigrant,Y20-64,F,THS_PER,Luxembourg,2022,0.7,u,0.49
"Less than primary, primary and lower secondary education",Clerical support workers,First Generation Immigrant,Y20-64,F,THS_PER,Malta,2022,0.7,u,0.49
"Less than primary, primary and lower secondary education",Clerical support workers,First Generation Immigrant,Y20-64,F,THS_PER,Netherlands,2022,14.4,unknown,10.07
"Less than primary, primary and lower secondary education",Clerical support workers,First Generation Immigrant,Y20-64,F,THS_PER,Portugal,2022,4.6,u,3.22
"Less than primary, primary and lower secondary education",Clerical support workers,First Generation Immigrant,Y20-64,F,THS_PER,Sweden,2022,3.5,u,2.45
"Less than primary, primary and lower secondary education",Clerical support workers,First Generation Immigrant,Y20-64,M,THS_PER,Austria,2022,4.6,u,2.12
"Less than primary, primary and lower secondary education",Clerical support workers,First Generation Immigrant,Y20-64,M,THS_PER,Belgium,2022,5.6,unknown,2.58
"Less than primary, primary and lower secondary education",Clerical support workers,First Generation Immigrant,Y20-64,M,THS_PER,Switzerland,2022,12.2,unknown,5.61
"Less than primary, primary and lower secondary education",Clerical support workers,First Generation Immigrant,Y20-64,M,THS_PER,Germany,2022,117.1,unknown,53.86
"Less than primary, primary and lower secondary education",Clerical support workers,First Generation Immigrant,Y20-64,M,THS_PER,Spain,2022,15.8,d,7.27
"Less than primary, primary and lower secondary education",Clerical support workers,First Generation Immigrant,Y20-64,M,THS_PER,France,2022,16.3,d,7.5
"Less than primary, primary and lower secondary education",Clerical support workers,First Generation Immigrant,Y20-64,M,THS_PER,Italy,2022,19.8,unknown,9.11
"Less than primary, primary and lower secondary education",Clerical support workers,First Generation Immigrant,Y20-64,M,THS_PER,Luxembourg,2022,1.7,unknown,0.78
"Less than primary, primary and lower secondary education",Clerical support workers,First Generation Immigrant,Y20-64,M,THS_PER,Netherlands,2022,14.4,unknown,6.62
"Less than primary, primary and lower secondary education",Clerical support workers,First Generation Immigrant,Y20-64,M,THS_PER,Sweden,2022,9.9,unknown,4.55
"Less than primary, primary and lower secondary education",Clerical support workers,Native Born,Y20-64,F,THS_PER,Austria,2022,11.7,unknown,1.53
"Less than primary, primary and lower secondary education",Clerical support workers,Native Born,Y20-64,F,THS_PER,Belgium,2022,10.3,unknown,1.35
"Less than primary, primary and lower secondary education",Clerical support workers,Native Born,Y20-64,F,THS_PER,Switzerland,2022,10.1,unknown,1.32
"Less than primary, primary and lower secondary education",Clerical support workers,Native Born,Y20-64,F,THS_PER,Czechia,2022,3.6,unknown,0.47
"Less than primary, primary and lower secondary education",Clerical support workers,Native Born,Y20-64,F,THS_PER,Germany,2022,234.8,unknown,30.69
"Less than primary, primary and lower secondary education",Clerical support workers,Native Born,Y20-64,F,THS_PER,Denmark,2022,10.0,unknown,1.31
"Less than primary, primary and lower secondary education",Clerical support workers,Native Born,Y20-64,F,THS_PER,Estonia,2022,1.6,u,0.21
"Less than primary, primary and lower secondary education",Clerical support workers,Native Born,Y20-64,F,THS_PER,Greece,2022,5.1,unknown,0.67
"Less than primary, primary and lower secondary education",Clerical support workers,Native Born,Y20-64,F,THS_PER,Spain,2022,109.0,d,14.25
"Less than primary, primary and lower secondary education",Clerical support workers,Native Born,Y20-64,F,THS_PER,Finland,2022,3.4,u,0.44
"Less than primary, primary and lower secondary education",Clerical support workers,Native Born,Y20-64,F,THS_PER,France,2022,99.7,d,13.03
"Less than primary, primary and lower secondary education",Clerical support workers,Native Born,Y20-64,F,THS_PER,Croatia,2022,1.1,u,0.14
"Less than primary, primary and lower secondary education",Clerical support workers,Native Born,Y20-64,F,THS_PER,Hungary,2022,5.2,unknown,0.68
"Less than primary, primary and lower secondary education",Clerical support workers,Native Born,Y20-64,F,THS_PER,Iceland,2022,0.7,unknown,0.09
"Less than primary, primary and lower secondary education",Clerical support workers,Native Born,Y20-64,F,THS_PER,Italy,2022,121.8,unknown,15.92
"Less than primary, primary and lower secondary education",Clerical support workers,Native Born,Y20-64,F,THS_PER,Luxembourg,2022,1.7,unknown,0.22
"Less than primary, primary and lower secondary education",Clerical support workers,Native Born,Y20-64,F,THS_PER,Malta,2022,2.3,unknown,0.3
"Less than primary, primary and lower secondary education",Clerical support workers,Native Born,Y20-64,F,THS_PER,Netherlands,2022,70.4,unknown,9.2
"Less than primary, primary and lower secondary education",Clerical support workers,Native Born,Y20-64,F,THS_PER,Norway,2022,9.7,u,1.27
"Less than primary, primary and lower secondary education",Clerical support workers,Native Born,Y20-64,F,THS_PER,Portugal,2022,43.9,unknown,5.74
"Less than primary, primary and lower secondary education",Clerical support workers,Native Born,Y20-64,F,THS_PER,Serbia,2022,1.5,u,0.2
"Less than primary, primary and lower secondary education",Clerical support workers,Native Born,Y20-64,F,THS_PER,Sweden,2022,7.5,unknown,0.98
"Less than primary, primary and lower secondary education",Clerical support workers,Native Born,Y20-64,M,THS_PER,Austria,2022,9.4,unknown,1.37
"Less than primary, primary and lower secondary education",Clerical support workers,Native Born,Y20-64,M,THS_PER,Belgium,2022,14.9,unknown,2.17
"Less than primary, primary and lower secondary education",Clerical support workers,Native Born,Y20-64,M,THS_PER,Switzerland,2022,8.6,unknown,1.25
"Less than primary, primary and lower secondary education",Clerical support workers,Native Born,Y20-64,M,THS_PER,Cyprus,2022,0.5,u,0.07
